Timestamp,Function,Input,Execution Time (s),CPU Usage (%),CPU Frequency (GHz),Number of Logical Cores,Number of Physical Cores,Memory Usage (MB),Memory Usage (%),Memory Available (MB),Host Total Memory (MB)
23/06/2025 20:55,Fibonacci,20000,2.62,6.26,2.79,16,16,356.01,1.14,30978.4,31334.41
23/06/2025 20:55,Fibonacci,20000,2.62,6.26,2.79,16,16,126.8,0.4,31207.61,31334.41
23/06/2025 20:55,Fibonacci,20000,2.73,6.26,2.79,16,16,43.35,0.14,31291.06,31334.41
23/06/2025 20:55,Fibonacci,20000,2.62,6.26,2.79,16,16,140.25,0.45,31194.16,31334.41
23/06/2025 20:55,Fibonacci,20000,2.59,6.29,2.79,16,16,110.75,0.35,31223.66,31334.41
23/06/2025 20:56,Fibonacci,20000,2.65,6.25,2.79,16,16,100.36,0.32,31234.05,31334.41
23/06/2025 20:56,Fibonacci,20000,2.6,6.23,2.79,16,16,72.91,0.23,31261.5,31334.41
23/06/2025 20:56,Fibonacci,20000,2.64,6.27,2.79,16,16,99.16,0.32,31235.25,31334.41
23/06/2025 20:56,Fibonacci,20000,2.59,6.28,2.79,16,16,113.46,0.36,31220.95,31334.41
23/06/2025 20:56,Fibonacci,20000,2.63,6.25,2.79,16,16,69.34,0.22,31265.07,31334.41
23/06/2025 20:56,Hello,,0.21,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,Hello,,0.21,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,Hello,,0.2,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,Hello,,0.21,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,Hello,,0.2,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,Hello,,0.2,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,Hello,,0.21,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,Hello,,0.19,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,Hello,,0.21,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,Hello,,0.19,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,IsPrime,2.99376E+19,0.2,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,IsPrime,2.99376E+19,0.19,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,IsPrime,2.99376E+19,0.19,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,IsPrime,2.99376E+19,0.18,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,IsPrime,2.99376E+19,0.2,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,IsPrime,2.99376E+19,0.19,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,IsPrime,2.99376E+19,0.2,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,IsPrime,2.99376E+19,0.21,0,2.79,16,16,0,0,0,31334.41
23/06/2025 20:56,IsPrime,2.99376E+19,0.19,0,2.79,16,16,0,0,0,31334.41
