Timestamp,Function,Input,Execution Time (s),CPU Usage (%),CPU Frequency (GHz),Number of Logical Cores,Number of Physical Cores,Memory Usage (MB),Memory Usage (%),Memory Available (MB),Host Total Memory (MB)
24/06/2025 15:31,Hello,,1.02,0,1.48,4,4,0,0,0,3963.94
24/06/2025 15:31,IsPrime,29937646239629496719,0.49,0,1.48,4,4,0,0,0,3963.94
24/06/2025 15:31,Fibonacci,20000,13.7,6.21,1.48,4,4,85.05,2.15,3878.89,3963.94
24/06/2025 15:40,YOLOv8,input.jpg,498.21,16.71,1.48,4,4,128.53,3.24,3835.41,3963.94
24/06/2025 15:41,YOLOv8,input2.jpg,542.45,0.84,1.22,4,4,299.55,7.56,3664.39,3963.94
24/06/2025 15:41,YOLOv8,input1.jpg,539.28,0.89,1.22,4,4,281.14,7.09,3682.8,3963.94
24/06/2025 15:41,YOLOv8,input1.jpg,570.09,17.57,1.22,4,4,487.78,12.31,3476.16,3963.94
24/06/2025 15:41,YOLOv8,input2.jpg,569.4,24.23,1.22,4,4,499.65,12.6,3464.29,3963.94
24/06/2025 15:41,YOLOv8,input.jpg,568.73,5.23,1.22,4,4,342.64,8.64,3621.3,3963.94
24/06/2025 15:41,Hello,,3.29,1.03,1.48,4,4,5.32,0.13,3958.62,3963.94
24/06/2025 15:41,IsPrime,29937646239629496719,0.36,0,1.48,4,4,0,0,0,3963.94
24/06/2025 15:41,Fibonacci,20000,13.44,6.69,1.22,4,4,85.22,2.15,3878.71,3963.94
24/06/2025 15:48,YOLOv8,input1.jpg,430.95,8.87,1.48,4,4,400.26,10.1,3563.68,3963.94
24/06/2025 15:49,YOLOv8,input2.jpg,468.11,10.29,1.48,4,4,328.04,8.28,3635.89,3963.94
24/06/2025 15:50,YOLOv8,input.jpg,496.53,4.68,1.22,4,4,801.42,20.22,3162.52,3963.94
24/06/2025 15:50,YOLOv8,input2.jpg,517.58,0.45,1.22,4,4,504.64,12.73,3459.29,3963.94
24/06/2025 15:50,YOLOv8,input.jpg,525.86,0.4,1.22,4,4,485.75,12.25,3478.18,3963.94
24/06/2025 15:50,YOLOv8,input1.jpg,511.75,4.3,1.22,4,4,732.99,18.49,3230.95,3963.94
24/06/2025 15:50,Hello,,0.82,0,1.48,4,4,5.09,0.13,3958.85,3963.94
24/06/2025 15:50,IsPrime,29937646239629496719,1.28,0,1.48,4,4,5.07,0.13,3958.87,3963.94
24/06/2025 15:51,Fibonacci,20000,11.8,14.58,1.22,4,4,85.38,2.15,3878.55,3963.94
24/06/2025 15:54,YOLOv8,input1.jpg,203.2,7.36,1.48,4,4,15.66,0.39,3948.28,3963.94
24/06/2025 15:55,YOLOv8,input.jpg,261.04,21.38,1.48,4,4,453.3,11.44,3510.64,3963.94
24/06/2025 15:55,YOLOv8,input1.jpg,259.17,5.42,1.48,4,4,205.79,5.19,3758.14,3963.94
24/06/2025 15:55,YOLOv8,input2.jpg,281.96,24.82,1.48,4,4,733.83,18.51,3230.11,3963.94
24/06/2025 15:55,YOLOv8,input2.jpg,286.04,15.42,1.48,4,4,456.45,11.51,3507.49,3963.94
24/06/2025 15:55,YOLOv8,input.jpg,303.56,24.84,1.22,4,4,682.29,17.21,3281.65,3963.94
24/06/2025 15:55,IsPrime,29937646239629496719,0.97,0,1.48,4,4,5.33,0.13,3958.61,3963.94
24/06/2025 15:55,Hello,,1.46,0,1.48,4,4,6.2,0.16,3957.73,3963.94
24/06/2025 15:56,Fibonacci,20000,11.15,9.13,1.48,4,4,85.2,2.15,3878.74,3963.94
24/06/2025 16:01,YOLOv8,input1.jpg,339.88,2.46,1.48,4,4,3.45,0.09,3960.49,3963.94
24/06/2025 16:02,YOLOv8,input.jpg,410.21,3.81,1.48,4,4,15.79,0.4,3948.15,3963.94
24/06/2025 16:02,YOLOv8,input2.jpg,410.5,6.62,1.48,4,4,58.09,1.47,3905.85,3963.94
24/06/2025 16:03,YOLOv8,input2.jpg,429,11.57,1.22,4,4,245.77,6.2,3718.16,3963.94
24/06/2025 16:03,YOLOv8,input1.jpg,428.72,23.72,1.22,4,4,122.09,3.08,3841.85,3963.94
24/06/2025 16:03,YOLOv8,input.jpg,428.9,23.93,1.22,4,4,577.87,14.58,3386.07,3963.94
24/06/2025 16:03,Hello,,0.43,0,1.48,4,4,5.22,0.13,3958.72,3963.94
24/06/2025 16:03,IsPrime,29937646239629496719,0.26,0,1.48,4,4,0,0,0,3963.94
24/06/2025 16:03,Fibonacci,20000,12.05,18.17,1.22,4,4,85.29,2.15,3878.64,3963.94
24/06/2025 16:09,YOLOv8,input1.jpg,339.25,15.42,1.48,4,4,80.82,2.04,3883.12,3963.94
24/06/2025 16:09,YOLOv8,input2.jpg,359.89,9.77,1.48,4,4,93.74,2.36,3870.2,3963.94
24/06/2025 16:09,YOLOv8,input.jpg,383.6,5.79,1.48,4,4,197.38,4.98,3766.56,3963.94
24/06/2025 16:09,YOLOv8,input2.jpg,384.48,2.04,1.22,4,4,257.14,6.49,3706.8,3963.94
24/06/2025 16:09,YOLOv8,input.jpg,381,1.78,1.22,4,4,277.08,6.99,3686.86,3963.94
24/06/2025 16:09,YOLOv8,input1.jpg,386.82,1.98,1.22,4,4,308.24,7.78,3655.7,3963.94
24/06/2025 16:09,Hello,,1,0,1.48,4,4,6.03,0.15,3957.91,3963.94
24/06/2025 16:09,IsPrime,29937646239629496719,0.58,0,1.48,4,4,5.38,0.14,3958.56,3963.94
24/06/2025 16:09,Fibonacci,20000,11.44,11.14,1.22,4,4,85.21,2.15,3878.72,3963.94
24/06/2025 16:14,YOLOv8,input2.jpg,260.7,11.73,1.48,4,4,214.86,5.42,3749.08,3963.94
24/06/2025 16:14,YOLOv8,input1.jpg,288,5.04,1.48,4,4,209.8,5.29,3754.14,3963.94
24/06/2025 16:14,YOLOv8,input1.jpg,293.56,11.41,1.48,4,4,316.93,8,3647.01,3963.94
