Timestamp,Function,Input,Execution Time (s),CPU Usage (%),CPU Frequency (GHz),Number of Logical Cores,Number of Physical Cores,Memory Usage (MB),Memory Usage (%),Memory Available (MB),Host Total Memory (MB)
2025-06-24 07:01:17,Hello,,0.69,0.0,2.79,16,16,0.0,0.0,0.0,31334.41
2025-06-24 07:01:17,IsPrime,29937646239629496719,0.32,0.0,2.79,16,16,3.89,0.01,31330.52,31334.41
2025-06-24 07:01:20,Fibonacci,20000,3.98,6.26,2.79,16,16,282.6,0.9,31051.81,31334.41
2025-06-24 07:02:05,YOLOv8,input.jpg,48.78,14.92,2.79,16,16,1156.9,3.69,30177.51,31334.41
2025-06-24 07:02:17,YOLOv8,input1.jpg,61.18,23.69,2.79,16,16,1146.93,3.66,30187.48,31334.41
2025-06-24 07:02:24,YOLOv8,input2.jpg,67.73,12.62,2.79,16,16,753.17,2.4,30581.24,31334.41
2025-06-24 07:02:28,YOLOv8,input1.jpg,72.63,38.36,2.79,16,16,1145.73,3.66,30188.68,31334.41
2025-06-24 07:02:29,YOLOv8,input2.jpg,73.19,21.2,2.79,16,16,964.25,3.08,30370.16,31334.41
2025-06-24 07:02:29,YOLOv8,input.jpg,73.14,18.03,2.79,16,16,869.72,2.78,30464.69,31334.41
2025-06-24 07:02:31,Hello,,0.27,0.0,2.79,16,16,0.0,0.0,0.0,31334.41
2025-06-24 07:02:32,IsPrime,29937646239629496719,0.85,0.0,2.79,16,16,0.0,0.0,0.0,31334.41
2025-06-24 07:02:34,Fibonacci,20000,2.92,6.05,2.79,16,16,85.01,0.27,31249.4,31334.41
2025-06-24 07:03:17,YOLOv8,input.jpg,45.42,6.24,2.79,16,16,576.21,1.84,30758.2,31334.41
2025-06-24 07:03:18,YOLOv8,input2.jpg,46.66,15.05,2.79,16,16,905.48,2.89,30428.93,31334.41
2025-06-24 07:03:22,YOLOv8,input.jpg,51.14,35.4,2.79,16,16,1158.03,3.7,30176.38,31334.41
2025-06-24 07:03:28,YOLOv8,input1.jpg,57.31,24.67,2.79,16,16,967.09,3.09,30367.32,31334.41
2025-06-24 07:03:29,YOLOv8,input1.jpg,57.94,15.31,2.79,16,16,945.81,3.02,30388.6,31334.41
2025-06-24 07:03:29,YOLOv8,input2.jpg,57.78,11.73,2.79,16,16,415.82,1.33,30918.59,31334.41
2025-06-24 07:03:32,IsPrime,29937646239629496719,0.67,0.0,2.79,16,16,0.0,0.0,0.0,31334.41
2025-06-24 07:03:32,Hello,,0.41,0.0,2.79,16,16,0.0,0.0,0.0,31334.41
2025-06-24 07:03:35,Fibonacci,20000,3.95,6.24,2.79,16,16,393.33,1.26,30941.08,31334.41
2025-06-24 07:04:14,YOLOv8,input.jpg,42.54,11.11,2.79,16,16,1033.09,3.3,30301.32,31334.41
2025-06-24 07:04:15,YOLOv8,input1.jpg,44.47,13.86,2.79,16,16,1136.62,3.63,30197.79,31334.41
2025-06-24 07:04:21,YOLOv8,input2.jpg,50.35,8.71,2.79,16,16,1008.72,3.22,30325.69,31334.41
2025-06-24 07:04:25,YOLOv8,input1.jpg,53.25,19.58,2.79,16,16,937.12,2.99,30397.29,31334.41
2025-06-24 07:04:28,YOLOv8,input.jpg,56.88,24.78,2.79,16,16,1021.35,3.26,30313.06,31334.41
