Timestamp,Function,Input,Execution Time (s),CPU Usage (%),CPU Frequency (GHz),Number of Logical Cores,Number of Physical Cores,Memory Usage (MB),Memory Usage (%),Memory Available (MB),Host Total Memory (MB)
24/06/2025 09:18,Fibonacci,20000,3.79,12.42,1.19,8,8,52.62,0.35,14834.1,14886.72
24/06/2025 09:19,Fibonacci,20000,3.54,12.51,1.19,8,8,69.8,0.47,14816.92,14886.72
24/06/2025 09:19,Fibonacci,20000,3.59,12.45,1.19,8,8,43.71,0.29,14843.02,14886.72
24/06/2025 09:20,Fibonacci,20000,3.54,12.42,1.19,8,8,404.56,2.72,14482.16,14886.72
24/06/2025 09:20,Fibonacci,20000,4.09,12.45,1.19,8,8,50.48,0.34,14836.24,14886.72
24/06/2025 09:20,Fibonacci,20000,3.62,12.45,1.19,8,8,364.62,2.45,14522.1,14886.72
24/06/2025 09:20,Fibonacci,20000,3.54,12.47,1.19,8,8,404.45,2.72,14482.27,14886.72
24/06/2025 09:21,Fibonacci,20000,3.51,12.44,1.19,8,8,376.72,2.53,14510,14886.72
24/06/2025 09:21,Fibonacci,20000,3.43,12.52,1.19,8,8,110.34,0.74,14776.39,14886.72
24/06/2025 09:22,Fibonacci,20000,3.41,12.46,1.19,8,8,283.36,1.9,14603.37,14886.72
24/06/2025 09:22,Hello,,0.4,0,1.19,8,8,4.75,0.03,14881.98,14886.72
24/06/2025 09:22,Hello,,0.31,0,1.19,8,8,4.68,0.03,14882.04,14886.72
24/06/2025 09:22,Hello,,0.32,0,1.19,8,8,4.94,0.03,14881.78,14886.72
24/06/2025 09:22,Hello,,0.23,0,1.19,8,8,4.92,0.03,14881.8,14886.72
24/06/2025 09:22,Hello,,0.16,0,1.19,8,8,2.7,0.02,14884.03,14886.72
24/06/2025 09:22,Hello,,0.16,0,1.19,8,8,0,0,0,14886.72
24/06/2025 09:22,Hello,,0.16,0,1.19,8,8,0,0,0,14886.72
24/06/2025 09:22,Hello,,0.15,0,1.19,8,8,0,0,0,14886.72
24/06/2025 09:22,Hello,,0.16,0,1.19,8,8,0,0,0,14886.72
24/06/2025 09:22,Hello,,0.2,0,1.19,8,8,3.98,0.03,14882.74,14886.72
24/06/2025 09:22,IsPrime,29937646239629496719,0.22,0,1.19,8,8,3.91,0.03,14882.81,14886.72
24/06/2025 09:22,IsPrime,29937646239629496719,0.21,0,1.19,8,8,5.39,0.04,14881.33,14886.72
24/06/2025 09:23,IsPrime,29937646239629496719,0.17,0,1.19,8,8,3.71,0.02,14883.02,14886.72
24/06/2025 09:23,IsPrime,29937646239629496719,0.16,0,1.19,8,8,0,0,0,14886.72
24/06/2025 09:23,IsPrime,29937646239629496719,0.16,0,1.19,8,8,0,0,0,14886.72
24/06/2025 09:23,IsPrime,29937646239629496719,0.16,0,1.19,8,8,0,0,0,14886.72
24/06/2025 09:23,IsPrime,29937646239629496719,0.15,0,1.19,8,8,0,0,0,14886.72
24/06/2025 09:23,IsPrime,29937646239629496719,0.16,0,1.19,8,8,0,0,0,14886.72
24/06/2025 09:23,IsPrime,29937646239629496719,0.15,0,1.19,8,8,0,0,0,14886.72
24/06/2025 09:23,IsPrime,29937646239629496719,0.15,0,1.19,8,8,2.29,0.02,14884.44,14886.72
24/06/2025 09:24,YOLOv8,input.jpg,74.19,0.01,1.19,8,8,858.55,5.77,14028.17,14886.72
24/06/2025 09:25,YOLOv8,input.jpg,43.25,14.96,1.19,8,8,837.08,5.62,14049.64,14886.72
24/06/2025 09:27,YOLOv8,input.jpg,45.83,13.38,1.19,8,8,1063.72,7.15,13823,14886.72
24/06/2025 09:28,YOLOv8,input.jpg,42.38,12.35,1.19,8,8,623.79,4.19,14262.93,14886.72
24/06/2025 09:30,YOLOv8,input.jpg,42.71,12.74,1.19,8,8,850.44,5.71,14036.29,14886.72
24/06/2025 09:31,YOLOv8,input.jpg,42.61,12.74,1.19,8,8,622.36,4.18,14264.36,14886.72
24/06/2025 09:33,YOLOv8,input.jpg,48.74,12.43,1.19,8,8,737.82,4.96,14148.9,14886.72
24/06/2025 09:34,YOLOv8,input.jpg,43.28,15.42,1.19,8,8,971.05,6.52,13915.68,14886.72
24/06/2025 09:36,YOLOv8,input.jpg,43.1,15.74,1.19,8,8,895.45,6.02,13991.27,14886.72
24/06/2025 09:37,YOLOv8,input.jpg,43.17,14.8,1.19,8,8,1051.45,7.06,13835.27,14886.72
24/06/2025 09:39,YOLOv8,input1.jpg,43.08,15.92,1.19,8,8,926.23,6.22,13960.49,14886.72
24/06/2025 09:41,YOLOv8,input1.jpg,60.04,9.97,1.19,8,8,575.6,3.87,14311.12,14886.72
24/06/2025 09:42,YOLOv8,input1.jpg,51.24,12.37,2.19,8,8,349.88,2.35,14536.85,14886.72
24/06/2025 09:44,YOLOv8,input1.jpg,45.06,15.93,1.19,8,8,887.99,5.96,13998.73,14886.72
24/06/2025 09:45,YOLOv8,input1.jpg,41.78,13.43,1.19,8,8,901.61,6.06,13985.11,14886.72
24/06/2025 09:46,YOLOv8,input1.jpg,42.76,13.41,1.19,8,8,890.21,5.98,13996.51,14886.72
24/06/2025 09:48,YOLOv8,input1.jpg,42.23,15.49,1.19,8,8,851.52,5.72,14035.2,14886.72
24/06/2025 09:49,YOLOv8,input1.jpg,42.79,13.74,1.19,8,8,993.14,6.67,13893.59,14886.72
24/06/2025 09:51,YOLOv8,input1.jpg,42.42,12.86,1.19,8,8,1053.37,7.08,13833.36,14886.72
24/06/2025 09:53,YOLOv8,input1.jpg,43.68,14.08,1.19,8,8,817.95,5.49,14068.78,14886.72
24/06/2025 09:55,YOLOv8,input2.jpg,45.96,14.86,1.19,8,8,934.86,6.28,13951.86,14886.72
24/06/2025 09:56,YOLOv8,input2.jpg,44.82,15.35,1.19,8,8,862.32,5.79,14024.4,14886.72
24/06/2025 09:58,YOLOv8,input2.jpg,43.96,14.34,1.19,8,8,992.28,6.67,13894.44,14886.72
24/06/2025 10:00,YOLOv8,input2.jpg,43.76,12.42,1.19,8,8,481.24,3.23,14405.48,14886.72
24/06/2025 10:02,YOLOv8,input2.jpg,114.26,0.01,1.19,8,8,1171.1,7.87,13715.62,14886.72
24/06/2025 10:04,YOLOv8,input2.jpg,42.55,10.93,1.19,8,8,1047.24,7.03,13839.48,14886.72
24/06/2025 10:06,YOLOv8,input2.jpg,41.25,12.45,1.19,8,8,1016.24,6.83,13870.48,14886.72
24/06/2025 10:08,YOLOv8,input2.jpg,44.84,15.04,1.19,8,8,925.22,6.22,13961.5,14886.72
24/06/2025 10:10,YOLOv8,input2.jpg,41.64,12.83,1.19,8,8,806.31,5.42,14080.41,14886.72
24/06/2025 10:12,YOLOv8,input2.jpg,43.51,13.26,2.27,8,8,862.97,5.8,14023.75,14886.72
